N_region,N_cont_region,N_recu_region,fecha_region,ID_region,Poblacion,num_region
Arica y Parinacota,0,0,2020-03-03,15,252110,
Tarapacá,0,0,2020-03-03,01,382773,
Antofagasta,0,0,2020-03-03,02,691854,
Atacama,0,0,2020-03-03,03,314709,
Coquimbo,0,0,2020-03-03,04,836096,
Valparaíso,0,0,2020-03-03,05,1960170,
Metropolitana,0,0,2020-03-03,13,8125072,
O’Higgins,0,0,2020-03-03,06,991063,
Maule,0,0,2020-03-03,07,1131939,
Ñuble,0,0,2020-03-03,16,511551,
Biobío,0,0,2020-03-03,08,1663696,
Araucanía,0,0,2020-03-03,09,1014343,
Los Ríos,0,0,2020-03-03,14,405835,
Los Lagos,0,0,2020-03-03,10,891440,
Aysén,0,0,2020-03-03,11,107297,
Magallanes,0,0,2020-03-03,12,178362,
Arica y Parinacota,0,0,2020-03-04,15,252110,
Tarapacá,0,0,2020-03-04,01,382773,
Antofagasta,0,0,2020-03-04,02,691854,
Atacama,0,0,2020-03-04,03,314709,
Coquimbo,0,0,2020-03-04,04,836096,
Valparaíso,0,0,2020-03-04,05,1960170,
Metropolitana,1,0,2020-03-04,13,8125072,
O’Higgins,0,0,2020-03-04,06,991063,
Maule,1,0,2020-03-04,07,1131939,
Ñuble,0,0,2020-03-04,16,511551,
Biobío,0,0,2020-03-04,08,1663696,
Araucanía,0,0,2020-03-04,09,1014343,
Los Ríos,0,0,2020-03-04,14,405835,
Los Lagos,0,0,2020-03-04,10,891440,
Aysén,0,0,2020-03-04,11,107297,
Magallanes,0,0,2020-03-04,12,178362,
Arica y Parinacota,0,0,2020-03-05,15,252110,
Tarapacá,0,0,2020-03-05,01,382773,
Antofagasta,0,0,2020-03-05,02,691854,
Atacama,0,0,2020-03-05,03,314709,
Coquimbo,0,0,2020-03-05,04,836096,
Valparaíso,0,0,2020-03-05,05,1960170,
Metropolitana,1,0,2020-03-05,13,8125072,
O’Higgins,0,0,2020-03-05,06,991063,
Maule,0,0,2020-03-05,07,1131939,
Ñuble,0,0,2020-03-05,16,511551,
Biobío,0,0,2020-03-05,08,1663696,
Araucanía,0,0,2020-03-05,09,1014343,
Los Ríos,0,0,2020-03-05,14,405835,
Los Lagos,0,0,2020-03-05,10,891440,
Aysén,0,0,2020-03-05,11,107297,
Magallanes,0,0,2020-03-05,12,178362,
Arica y Parinacota,0,0,2020-03-06,15,252110,
Tarapacá,0,0,2020-03-06,01,382773,
Antofagasta,0,0,2020-03-06,02,691854,
Atacama,0,0,2020-03-06,03,314709,
Coquimbo,0,0,2020-03-06,04,836096,
Valparaíso,0,0,2020-03-06,05,1960170,
Metropolitana,1,0,2020-03-06,13,8125072,
O’Higgins,0,0,2020-03-06,06,991063,
Maule,0,0,2020-03-06,07,1131939,
Ñuble,0,0,2020-03-06,16,511551,
Biobío,0,0,2020-03-06,08,1663696,
Araucanía,0,0,2020-03-06,09,1014343,
Los Ríos,0,0,2020-03-06,14,405835,
Los Lagos,0,0,2020-03-06,10,891440,
Aysén,0,0,2020-03-06,11,107297,
Magallanes,0,0,2020-03-06,12,178362,
Arica y Parinacota,0,0,2020-03-07,15,252110,
Tarapacá,0,0,2020-03-07,01,382773,
Antofagasta,0,0,2020-03-07,02,691854,
Atacama,0,0,2020-03-07,03,314709,
Coquimbo,0,0,2020-03-07,04,836096,
Valparaíso,0,0,2020-03-07,05,1960170,
Metropolitana,1,0,2020-03-07,13,8125072,
O’Higgins,0,0,2020-03-07,06,991063,
Maule,0,0,2020-03-07,07,1131939,
Ñuble,0,0,2020-03-07,16,511551,
Biobío,0,0,2020-03-07,08,1663696,
Araucanía,0,0,2020-03-07,09,1014343,
Los Ríos,0,0,2020-03-07,14,405835,
Los Lagos,1,0,2020-03-07,10,891440,
Aysén,0,0,2020-03-07,11,107297,
Magallanes,0,0,2020-03-07,12,178362,
Arica y Parinacota,0,0,2020-03-08,15,252110,
Tarapacá,0,0,2020-03-08,01,382773,
Antofagasta,0,0,2020-03-08,02,691854,
Atacama,0,0,2020-03-08,03,314709,
Coquimbo,0,0,2020-03-08,04,836096,
Valparaíso,0,0,2020-03-08,05,1960170,
Metropolitana,2,0,2020-03-08,13,8125072,
O’Higgins,0,0,2020-03-08,06,991063,
Maule,1,0,2020-03-08,07,1131939,
Ñuble,0,0,2020-03-08,16,511551,
Biobío,0,0,2020-03-08,08,1663696,
Araucanía,0,0,2020-03-08,09,1014343,
Los Ríos,0,0,2020-03-08,14,405835,
Los Lagos,0,0,2020-03-08,10,891440,
Aysén,0,0,2020-03-08,11,107297,
Magallanes,0,0,2020-03-08,12,178362,
Arica y Parinacota,0,0,2020-03-09,15,252110,
Tarapacá,0,0,2020-03-09,01,382773,
Antofagasta,0,0,2020-03-09,02,691854,
Atacama,0,0,2020-03-09,03,314709,
Coquimbo,0,0,2020-03-09,04,836096,
Valparaíso,0,0,2020-03-09,05,1960170,
Metropolitana,3,0,2020-03-09,13,8125072,
O’Higgins,0,0,2020-03-09,06,991063,
Maule,1,0,2020-03-09,07,1131939,
Ñuble,0,0,2020-03-09,16,511551,
Biobío,1,0,2020-03-09,08,1663696,
Araucanía,0,0,2020-03-09,09,1014343,
Los Ríos,0,0,2020-03-09,14,405835,
Los Lagos,0,0,2020-03-09,10,891440,
Aysén,0,0,2020-03-09,11,107297,
Magallanes,0,0,2020-03-09,12,178362,
Arica y Parinacota,0,0,2020-03-10,15,252110,
Tarapacá,0,0,2020-03-10,01,382773,
Antofagasta,0,0,2020-03-10,02,691854,
Atacama,0,0,2020-03-10,03,314709,
Coquimbo,0,0,2020-03-10,04,836096,
Valparaíso,0,0,2020-03-10,05,1960170,
Metropolitana,1,0,2020-03-10,13,8125072,
O’Higgins,0,0,2020-03-10,06,991063,
Maule,1,0,2020-03-10,07,1131939,
Ñuble,0,0,2020-03-10,16,511551,
Biobío,0,0,2020-03-10,08,1663696,
Araucanía,0,0,2020-03-10,09,1014343,
Los Ríos,0,0,2020-03-10,14,405835,
Los Lagos,0,0,2020-03-10,10,891440,
Aysén,0,0,2020-03-10,11,107297,
Magallanes,0,0,2020-03-10,12,178362,
Arica y Parinacota,0,0,2020-03-11,15,252110,
Tarapacá,0,0,2020-03-11,01,382773,
Antofagasta,0,0,2020-03-11,02,691854,
Atacama,0,0,2020-03-11,03,314709,
Coquimbo,0,0,2020-03-11,04,836096,
Valparaíso,0,0,2020-03-11,05,1960170,
Metropolitana,4,0,2020-03-11,13,8125072,
O’Higgins,0,0,2020-03-11,06,991063,
Maule,2,0,2020-03-11,07,1131939,
Ñuble,0,0,2020-03-11,16,511551,
Biobío,0,0,2020-03-11,08,1663696,
Araucanía,0,0,2020-03-11,09,1014343,
Los Ríos,0,0,2020-03-11,14,405835,
Los Lagos,0,0,2020-03-11,10,891440,
Aysén,0,0,2020-03-11,11,107297,
Magallanes,0,0,2020-03-11,12,178362,
Arica y Parinacota, 0,0,2020-03-12,15,252110,
Tarapacá, 0,0,2020-03-12,01,382773,
Antofagasta, 0,0,2020-03-12,02,691854,
Atacama, 0,0,2020-03-12,03,314709,
Coquimbo, 0,0,2020-03-12,04,836096,
Valparaíso, 0,0,2020-03-12,05,1960170,
Metropolitana, 9,0,2020-03-12,13,8125072,
O’Higgins, 0,0,2020-03-12,06,991063,
Maule, 0,0,2020-03-12,07,1131939,
Ñuble, 1,0,2020-03-12,16,511551,
Biobío, 0,0,2020-03-12,08,1663696,
Araucanía, 0,0,2020-03-12,09,1014343,
Los Ríos, 0,0,2020-03-12,14,405835,
Los Lagos, 0,0,2020-03-12,10,891440,
Aysén, 0,0,2020-03-12,11,107297,
Magallanes, 0,0,2020-03-12,12,178362,
Arica y Parinacota, 0,0,2020-03-13,15,252110,
Tarapacá, 0,0,2020-03-13,01,382773,
Antofagasta, 0,0,2020-03-13,02,691854,
Atacama, 0,0,2020-03-13,03,314709,
Coquimbo, 0,0,2020-03-13,04,836096,
Valparaíso, 0,0,2020-03-13,05,1960170,
Metropolitana, 6,0,2020-03-13,13,8125072,
O’Higgins, 0,0,2020-03-13,06,991063,
Maule, 1,0,2020-03-13,07,1131939,
Ñuble, 1,0,2020-03-13,16,511551,
Biobío, 2,0,2020-03-13,08,1663696,
Araucanía, 0,0,2020-03-13,09,1014343,
Los Ríos, 0,0,2020-03-13,14,405835,
Los Lagos, 0,0,2020-03-13,10,891440,
Aysén, 0,0,2020-03-13,11,107297,
Magallanes, 0,0,2020-03-13,12,178362,
Arica y Parinacota, 0,0,2020-03-14,15,252110,
Tarapacá, 0,0,2020-03-14,01,382773,
Antofagasta, 2,0,2020-03-14,02,691854,
Atacama, 1,0,2020-03-14,03,314709,
Coquimbo, 0,0,2020-03-14,04,836096,
Valparaíso, 0,0,2020-03-14,05,1960170,
Metropolitana,11,0,2020-03-14,13,8125072,
O’Higgins, 0,0,2020-03-14,06,991063,
